Name,Translation,Description
Pirate Hook?,🏴‍☠🪝❓,Do [sword]<d6> damage[;]|on 6[;] keep the dice
Pitchfork,👨‍🌾🔱,Do [sword]<d6> damage[;]|[fire]Burn and [shock]Shock
Plague,🤒🦠,At the start of each turn[;]|curse everyone
Plasma Blaster,⬆🔫,Do [sword]<d6> damage
Plasma Cannon,⬆️🔫👨‍🚀,Do [sword]10 damage
Plaster,🩹,Heal [heal]1 health|[gray](Reuseable)
Plastic Shield,👶[shield],Add [shield]<d6> shield
Pocket Knife,⬇🗡,Do [sword]<d6> damage|[gray](Reuseable)
Poison Cloud,[poison]☁,Inflict [poison]<d6> poison
Poison Needle,[poison]🪡,Inflict [poison]1 poison|[gray](Reuseable)
Poison Slingshot,[poison]🪨🤾,Add [poison]4 poison
Poison Spell,[poison]🪄,Inflict [poison]4 poison
Polar Star,🧭[confuse],Do [sword]<double> damage[;] can|only use on even turns
Polarity Flip,🧭↔,Swap the next target
Polyjuice Potion,🥸🧪,Enemy becomes another|enemy of the same level
Power Crystal,🔌💎,Gain a random blessing
Precious Egg,👍🥚,(special)
Precious Egg@1,👍🥚@1,Contains a powerful item|Keep going!
Precious Egg@2,👍🥚@2,Contains a powerful item|Keep going!
Precious Egg@3,👍🥚@3,Contains a powerful item|Keep going!
Precious Egg@4,👍🥚@4,Contains a powerful item|Keep going!
Precious Egg@5,👍🥚@5,Contains a powerful item|Keep going!
Precious Egg@6,👍🥚@6,Contains a powerful item
Premium Heart,👍[heart],Do [sword]<d6> damage|10% chance of Fury
Pressure Cooker,🏋️‍♀️🍳,Do [sword]2 damage for each|dice used on this ([sword]<evar:dicecount>)
Princess Guard,👸💂,Do [sword]<d6> damage|25% chance to add [shield]<d6>
Punchline,🤭,Do [sword]5 damage
Puppy Paws,🐶🐾,Roll 2 fives
Quarterstaff,4🦯,Do [sword]<d6> damage[;] on 4[;]|return the dice
Rat,🐀,Inflict [poison]1 poison[;]|roll a new dice
Raw Ambition,🦚,Curse Enemy|[gray](items might fail)
Ray Gun,🔫,Do [sword]3 damage|[gray](Reuseable)
Remote Control,📡🕹️,Do [shock]<d6> damage[;]|on 6[;] randomise gadget
Resonance,💓,Do [weaken]3 damage[;]|+[weaken]2 if enemy is weak
Robot Calculate,🤖🖥,(special)
Robot Request,🤖[dice],(special)
Rock,🪨,Do [sword]<d6> damage|[gray](once per battle)
Rosepetal Shield,🌹[shield],Mysterious shield|Add [shield]??? shield
Rosepetal Staff,🌹🦯,Mysterious old staff|Inflict [poison]??? poison
Rosewood Spear,🌹🪵🤺,Do [sword]<d6> damage[;]|gain [thorns]2 thorns
Rosewood Spear?,🌹🪵🤺❓,Gain [thorns]2 thorns[;]|do [sword]<d6> damage
Rotten Core,🔪,Reduce health in half
Rotten Egg,👎️🥚,(special)
Rotten Egg@1,👎️🥚@1,Contains a terrible item|(Always offered as scrap)
Rotten Egg@2,👎️🥚@2,Contains a terrible item|(Always offered as scrap)
Rotten Egg@3,👎️🥚@3,Contains a terrible item|(Always offered as scrap)
Rotten Egg@4,👎️🥚@4,Contains a terrible item|(Always offered as scrap)
Rotten Egg@5,👎️🥚@5,Contains a terrible item|(Always offered as scrap)
Rotten Egg@6,👎️🥚@6,Contains a terrible item|(Always offered as scrap)
Rubber Duck,🛀🦆,Do absolutely nothing
Rubber Mallet,🤡🔨,Do [sword]<d6> damage[;]|on 1[;] also reroll
Ruby Weapon,💎⚔️,Do [sword]<double> damage
Ruff Ruff Ruff,🗨️🗨️🗨️🐺,Do [sword]5 damage|(maintains [fury]Fury[])
Run away!,🚪🏃,Run away!
Rusty Sword,💔[sword],Do [sword]<d6> damage[;] double|if your health is critical
Sad Verse,☹️🎼,Do [weaken]<d6> damage|[weaken]Weakens enemy
Safe Bet,🦺🤑,The next roll won't|exceed the CPU target
Safety Goggles,🥼🥽,Block all self-inflicted|damage on this turn
Saw Wave,🪚🌊,Returns a 6 and a 1
Scissors,✂️,Do [sword]<d6> damage[;]|split dice in two
Scorpion,🦂,Do [sword]20 damage
Scrap Book,♻📖,Duplicate a dice|(Always offered as scrap)
Scrap Bump,♻➕,Dice value +1|(Always offered as scrap)
Scrap Club,♻♣️,Do [sword]<d6> damage|(Always offered as scrap)
Scrap Kettle,♻️🫖,Inflict [fire]1 burn|(Always offered as scrap)
Scrap Metal,♻️🚗,Gain [shield]1 shield|(Always offered as scrap)
Scrap Nettle,♻[thorns],Gain [thorns]1 thorns|(Always offered as scrap)
Scrap Spear,♻️🤺,Do [sword]6 damage|(Always offered as scrap)
Screwdriver,🪛,Do [sword]<d6> damage[;]|on 6[;] reactivate gadget
Scythe,🌾🔪,Do [sword]<d6> damage[;]|on 6[;] curse yourself
Second Wind,🌬️🌬️,Take an extra turn|[gray](once per battle)
Secret Weapon,🤫⚔️,Gain a random blessing
Seize,🖐️,Lock [lock]1 dice
Shadow Dice,👤[dice],Duplicate a dice|Lose [heart]<d6> health
Sharp Spike,📌📌,Do [sword]<double> damage
Shield Bash,[shield]👊,Bash with shield[;]|do [shield]<myshield> damage
Shockwave,💢,Do [weaken]<d6> damage[;]|[]+[weaken]1 weaken
Shooting Star,🌠,Do [sword]<d6> damage[;]|inflict [confuse]Confuse
Short Circuit,➖➿,Do [sword]<d6> damage[;]|add random status
Short Sword,⬇[sword],Do [sword]<d6> damage
Shovel,♠️,Do [weaken]<d6> damage[;]|on 6[;] inflict [weaken]1 weaken
Shovel?,♠❓,Weaken if you use 6[;] then|do [weaken]<d6> damage
Shredder,🪚🖨️,Return 12 ones
Shriek,😱🗣️,Curse Enemy|[gray](items might fail)
Signal Jammer,📡🚧,Split a dice unevenly
Silver Cauldron,🥈🥘,Do [sword]1 damage[;]|get an odd dice
Silver Dagger,🥈🗡,Do [sword]<d6> damage[;]|if odd[;] get a new dice
Sine Wave,↕️🌊,First dice value +1|Second dice value -1
Singularity,1,Roll a one|[gray](Reuseable)
Sinkhole,🕳️,Inflict [weaken]3 weaken
Six Shooter,6🔫,Do [sword]<d6> damage|[gray](Reuseable)
Skeleton Key,💀🔑,Set all dice to <slotdoubles>
Slapsies,🤦,In [jinx]<d6> turns[;]|do [sword]<triple> damage
Sledgehammer,⬆🔨,Do [shock]8 damage|[shock]Shocks the enemy
Slime Ball,🍦🟢,Burns [fire]1 dice
Slingshot,🪨🤾,Do [sword]6 damage[;]|reroll the dice
Small Shield,⬇[shield],Add [shield]<d6> shield
Smog Cloud,🏭☁️,Inflict [poison]3 poison|and [blind]3 blind
Smokey Crystal,🌫️💎,Curse Enemy|[gray](items might fail)
Smush Together,👏,Combine dice[;] value -1
Snake Eye Charm,🐍👀🪄,Roll 2 ones
Snapdragon,🤞🐲,Do [sword]3 damage[;]|on 3[;] gain [mana]2 mana
Sneeze,🤧,Split a dice into 1s
Snow Blast,🌨️🌬,Do [ice]6 damage for|each [ice]1 freeze on enemy
Snowball,🌨⚪,Do [ice]<d6> damage|Freeze [ice]1 dice
Snowball?,🌨⚪❓,Do [ice]<d6> damage|Inflict [ice]1 freeze
Snowblower,🌨️🖨️,[ice]<d6> dmg[;] +[ice]2 freeze|[gray](once per battle)
Snowflake,[ice],Freeze [ice]1 dice
Snowstorm,🌨🌩️,Do [ice]4[;] inflict [ice]1 freeze|[gray](once per battle)
Solenoid,🧵,Do [sword]<solenoid> damage|Lose 2 each battle
Sonic Wave,📢🌊,Do [weaken]<d6> damage|[weaken]Weakens enemy
Sonic Wave?,📢🌊❓,[weaken]Weaken enemy[;] then|do [weaken]<d6> damage
Sour Candy,😝🍬,Heal [heal]2. If above max hp[;]|deal excess as damage
Spanner,🔧,Combine dice
Spannersword,🔧[sword],Combine dice[;] do [sword]1
Spare 1,[dice]1,A spare one
Spare 2,[dice]2,A spare two
Spare 3,[dice]3,A spare three
Spare 4,[dice]4,A spare four
Spare 5,[dice]5,A spare five
Spare 6,[dice]6,A spare six
Spare Cycles,🖥[sword],Do [sword]<leftovercpu> damage[;]| [sword]1 for each unused CPU point
Spark,[shock],Burns [fire]1 dice
Spatula,🙃,Flip a dice upside down
Spatulasword,🙃[sword],Do [sword]<d6> damage[;] and|flip the dice upside down
Spike,📌,Do [sword]<d6> damage
Spiked Shield,📌[shield],Even: [sword]<evendice_d6> damage|Odd: [shield]<odddice_d6> shield
Spiky Potion,📌🧪,Do [sword]8 damage|[gray](once per battle)
Spooky Bolt,[haunted]🔩,Do [sword]1 damage|(When created: Do [sword]3)
Spooky Noises,[haunted]🔊,Drain 1 health and|haunt [haunted]1 dice
Splitula,🪚🙃,Flip a dice upside down[;]|duplicate the flipped dice
Spring Equinox,🐇🗓️,Place two copies of the|next spell you cast
Spud Cannon,🥔🔫,[sword]2 dmg[;] [sword]4 on jackpot|[gray](Reuseable)
Square Pair,⏹️⏹️,Roll 2 fours
Squawk,🐦🗣️,Silence Enemy
Stack Overflow,📚💥,Do [sword]9 damage[;]|immune to errors
Staff,🦯,Deal [fire]6 damage|Burn [fire]1 dice
Starspear,[confuse]🤺,Do [sword]6 damage[;]|add 2x random status
Stew Pot,🍜,Do [sword]1 damage[;] reroll dice|(If [mana]>=6: return 5 or 6)
Stubbed Toe,🗄️🦶💢,Do [sword]<double> to yourself|(Always offered as scrap)
Stumble,🤸,Lose [heart]1 health
Subdivide,➗,Split a dice evenly
Summer Solstice,⛱️🗓,Do [sword]<d6> damage|(Cost [mana]4[]: triple damage)
Sun Beam,🌞☄️,Do [sword]5 damage|(Cost [mana]2[]: double damage)
Sunburn,🌞[fire],Do [fire]<d6> damage|(Cost [mana]1[]: burn a dice)
Sweets,🍬,Heal [heal]2. If above max hp[;]|convert excess to shield
Switch Fighter,↔️⚔,Switch Fighter|[gray](Once per turn)[]
Sword,[sword],Do [sword]<d6> damage
Sword Hilt,🗡️↖️,Do [sword]<d6> damage
System Shock,🖥️[shock],Do [shock]5 damage|Inflict [shock]1 shock
Table Slam,🗄️👊,Reroll all unused dice[;]|and return this dice
Target Shield,🎯[shield],Add [shield]<d6> to shield|[gray](Reuseable)
Tazer,🔌,Do [shock]<d6> damage|[shock]Shocks the enemy
Telephone,☎️,Do [sword]<d6> damage|In two turns[;] do [sword]<d6>
Teleport Spell,[dodge]🪄,Dodge next attack
Teleport Spell?,[dodge]🪄❓,50% chance to dodge|the next attack
Tetraphobia,4😨,Do [sword]4 damage
The Ashes,[fire]💨,Do [fire]<d6> damage[;]|Burn [fire]5 dice
The Cold,🥶,Do [ice]<d6> damage[;]|Freeze [ice]4 dice
The Curse,[curse],Do [sword]<d6> damage[;]|Inflict curse
The Inventor,🎛️🧑,Select
The Jester,🃏🧑,Select
The Robot,🤖,Select
The Shadow,👤,Do [sword]<d6> damage[;]|Blind [blind]3 dice
The Storm,⛈,Do [shock]<d6> damage[;]|Shock [shock]6 and silence
The Thief,💰🧑,Select
The Warrior,⚔🧑,Select
The Wind,🌬️,Do [sword]<d6> damage[;]|Lock [lock]2 dice
The Witch,🧙‍♀,Select
Thick Skin,🪖,Add [shield]<d6> to shield[;]|return the dice
Thief Stolen Card,💰🧑🦸,(special)
Thunder Spell,🌩️🔊🪄,Deal [shock]5 damage|Shock [shock]2 equipment
Thunder Storm,🌩️🔊,Do [shock]4[;] inflict [shock]1 shock|[gray](once per battle)
Time Compression,⏲️🗜️,Undo turn[;] take it again
Tiny Trebuchet,⬇🤾🖨️,Throw a random dice
Tower Shield,🏰[shield],Add [shield]<d6> shield
Toxic Ooze,☣️🛢,Do [sword]<d6> damage[;]|on 6[;] add [poison]2 poison
Toxic Potion,☣🧪,Inflict [poison]5 poison|[gray](once per battle)
Transformer,➕🛠,(special)
Transformer@1,➕🛠️@1,Do [sword]2 damage|Add +2 each battle
Transformer@10,➕🛠️@10,Do [sword]20 damage|At max level
Transformer@2,➕🛠️@2,Do [sword]4 damage|Add +2 each battle
Transformer@3,➕🛠️@3,Do [sword]6 damage|Add +2 each battle
Transformer@4,➕🛠️@4,Do [sword]8 damage|Add +2 each battle
Transformer@5,➕🛠️@5,Do [sword]10 damage|Add +2 each battle
Transformer@6,➕🛠️@6,Do [sword]12 damage|Add +2 each battle
Transformer@7,➕🛠️@7,Do [sword]14 damage|Add +2 each battle
Transformer@8,➕🛠️@8,Do [sword]16 damage|Add +2 each battle
Transformer@9,➕🛠️@9,Do [sword]18 damage|Add +2 each battle
Trident,🔱,Do [sword]<d6> damage[;]|[ice]Freeze and [shock]Shock
Two Handed Sword,[sword][sword],Do [sword]<d6> damage
Ultima Weapon,⬆️⚔️,Do [sword]<d6> damage[;]|double on jackpot
Uncle,👪,In 6 turns[;]|do [ice]20 damage
Ungeradedice,➖[dice],Double dice value[;]|then subtract 1
Upkeep,💁,Gain [shield]<myshield> at the start|of your next turn
Uptick,🎚,(special)
Uptick@1,🎚️@1,Increase and reset all dice|[gray](Current uptick: 1)
Uptick@2,🎚️@2,Increase and reset all dice|[gray](Current uptick: 2)
Uptick@3,🎚️@3,Increase and reset all dice|[gray](Current uptick: 3)
Uptick@4,🎚️@4,Increase and reset all dice|[gray](Current uptick: 4)
Uptick@5,🎚️@5,Increase and reset all dice|[gray](Current uptick: 5)
Uptick@6,🎚️@6,Reset uptick to 1|[gray](Current uptick: 6)
Venus Fly Trap,♀️🪰🪤,Do [sword]<d6> damage[;]|on 6[;] restore [heal]2 health
Venus Gospel,♀️📖,Do [weaken]<d6> damage|25% chance +[weaken]2 weaken
Very Good Sword,👍[sword],Do [sword]<double> damage
Virus,🖥️🦠,On each equipment use[;]|increase CPU by 1
Vise Grip,🗜️,Return two of the|difference between dice
Wail,😱,Silence Enemy
Wall of Flame,[fire][fire][fire],[fire]6 dmg + [fire]1 burn|[gray](once per battle)
Wall of Mirrors,🪞🪞🪞,[]+1 dice this fight|(to enemy)
Water Pistol,💧🔫,Do [sword]1 damage|[gray](Reuseable)
Wheel of Fortune,🎡🥠,Issue commandments
Whip,💣,Do [fire]<d6> damage[;]|on 6[;] inflict [fire]1 burn
Whisper,🤫,Weaken [weaken]1 equipment
Wicker Gemstaff,🧺💎🦯,Deal [ice]9 damage|Inflict [ice]2 freeze
Wicker Staff,🧺🦯,Deal [fire]9 damage|Burn [fire]2 dice
Wildcard,🃏,
Wind up Fist,⏰👊,Do [sword]5 damage
Winds of Winter,🌬️🥶,Do [sword]1 damage for each|[mana]1 mana you have
Winter Solstice,☃️🗓,Do [sword]<d6> damage|(If [mana]>=12: triple damage)
Witch Spellbook,🧙‍♀📓,(special)
Witch Deck,🧙‍♀🗃️,(special)
Wolf Puppy Bite,🧒🐺🦷,Do [sword]4 damage
Wooden Shield,🪵[shield],Add [shield]<d6> shield
Wooden Stake,🪵📌,Takes final [heart]5 hp|from vampires
Wooden Stake?,🪵📌❓,Do [sword]30 damage|(to vampires)
Woof Woof Woof,🐺🐺🐺,Repeat next action
Woof Woof Woof?,🐺🐺🐺❓,Repeat next action[;] but|disable it next turn
Worm Bite,🪱🦷,Do [sword]1 damage
Wrecking Ball,🏗️💣,Do [sword]<d6> damage[;]|reduce countdowns by <d6>
Wrong Answer,❌,Do [sword]1 damage[;] and|heal completely
Yip Yip Yip,🐶🐶🐶,Reroll a dice|(maintains [fury]Fury[])
Yoink,⏏️,Borrow equipment
