Changed?,Name,Description,Name_en,Description_en,
,Lightning Bolt_upgraded,Do [shock]<d6> damage[;]|[]+[shock]2 shock,Lightning Bolt_upgraded,[1f4e4][shock]<d6>[1f915]|[2795][shock][32-20E3],
,Inferno,Do [fire]<d6> damage[;]|Burn [fire]1 dice,[1f3e0-border][fire-border],[1f4e4][fire]<d6>[1f915]|[fire][31-20E3][dice],
,Inferno_upgraded,Do [fire]<d6> damage[;]|Burn [fire]2 dice,Inferno_upgraded,[1f4e4][fire]<d6>[1f915]|[fire][32-20E3][dice],
,Blizzard,Do [ice]<d6> damage[;]|Freeze [ice]1 dice,[1f328-border],[1f4e4][ice]<d6>[1f915]|[ice][31-20E3][dice],
,Blizzard_upgraded,Do [ice]<d6> damage[;]|Freeze [ice]2 dice,Blizzard_upgraded,[1f4e4][ice]<d6>[1f915]|[ice][32-20E3][dice],
,Shockwave,Do [weaken]<d6> damage[;]|[]+[weaken]1 weaken,[1f4a2-border],[1f4e4][weaken]<d6>[1f915]|[2795][weaken][31-20E3],
,Shockwave_upgraded,Do [weaken]<d6> damage[;]|[]+[weaken]2 weaken,Shockwave_upgraded,[1f4e4][weaken]<d6>[1f915]|[2795][weaken][32-20E3],
,Illuminate,Get 2x[dice]<d6>s next turn,[1f4a1-border],[1f4e5][32-20E3][2716][dice]<d6>[23e9][231b],
,Illuminate_upgraded,Get 4x[dice]<slotdoubles>s next turn,Illuminate_upgraded,[1f4e5][34-20E3][2716][dice]<slotdoubles>[23e9][231b],
,Magic Reroll,Reroll unused dice,[1fa84-border][1f504-border],[1f504][26d4][1f590][dice],
,Life Drain,Drain [heart]<d6> health,[1f489-border],[1f4e5][2197][heart]<d6>,
,Mystery Box,Very mysterious,[1f575-border][1f9f0-border],[1f575][1f575],
,Mystery Box_upgraded,Contents upgraded,Mystery Box_upgraded,[1f9f0][1f6e0][2795],
,Slime Ball,Add [poison]2 poison,[1f366-border][1f7e2-border],[2795][poison][32-20E3],
,Slime Ball_upgraded,Add [poison]3 poison,Slime Ball_upgraded,[2795][poison][33-20E3],
,Meteor,Do [fire]20 damage[;]|burn all dice,[2604-border],[1f4e4][fire][32-20E3][30-20E3][1f915]|[fire][267e][dice],
,Meteor_upgraded,Do [fire]25 damage[;]|burn all dice,Meteor_upgraded,[1f4e4][fire][32-20E3][35-20E3][1f915]|[fire][267e][dice],
,Meteor_downgraded,Do [fire]10 damage[;]|burn a dice,Meteor_downgraded,[1f4e4][fire][31-20E3][30-20E3][1f915]|[fire][dice],
,Cauldron,Do [sword]1 damage[;]|get a new dice,[1f958-border],[1f4e4][sword][31-20E3][1f915]|[1f4e5][dice],
,Cauldron_upgraded,Do [sword]1 damage[;] reroll dice|[gray](Reuseable),Cauldron_upgraded,[1f4e4][sword][31-20E3][1f915]|[1f504][dice]|,
,Cauldron_downgraded,Do [sword]1 damage,Cauldron_downgraded,[1f4e4][sword][31-20E3][1f915],
,Hex,Even: [weaken]1 weaken|Odd: [shock]1 shock,[1fa84-border],[32-20E3][34-20E3][36-20E3][27a1][weaken][31-20E3]|[31-20E3][33-20E3][35-20E3][27a1][shock][31-20E3],
,Hex_upgraded,Even: [weaken]2 weaken|Odd: [shock]2 shock,Hex_upgraded,[32-20E3][34-20E3][36-20E3][27a1][weaken][32-20E3]|[31-20E3][33-20E3][35-20E3][27a1][shock][32-20E3],
,Magic Spear,Do [sword]10 damage,[1fa84-border][1f93a-border],[1f4e4][sword][31-20E3][30-20E3][1f915],
,Magic Spear_downgraded,Do [sword]5 damage,Magic Spear_downgraded,[1f4e4][sword][35-20E3][1f915],
,Magic Spear_upgraded,Do [sword]14 damage,Magic Spear_upgraded,[1f4e4][sword][31-20E3][34-20E3][1f915],
,Glass Cauldron,Freeze [ice]1 dice[;]|roll a one,[1fa9f-border][1f958-border],[ice][31-20E3][dice]|[1f504][dice][1f522][31-20E3],
,Glass Cauldron_upgraded,Freeze [ice]1 dice[;] roll a one|[gray](Reuseable),Glass Cauldron_upgraded,[ice][31-20E3][dice]|[1f504][dice][1f522][31-20E3]|,
,Glass Cauldron_downgraded,Freeze [ice]1 dice,Glass Cauldron_downgraded,[ice][31-20E3][dice],
,Gold Cauldron,Do [sword]1 damage[;]|get an even dice,[1f947-border][1f958-border],[1f4e4][sword][31-20E3][1f915]|[1f4e5][32-20E3][34-20E3][36-20E3][dice],
,Gold Cauldron_upgraded,Do [sword]1[;] get an even dice|[gray](Reuseable),Gold Cauldron_upgraded,[1f4e4][sword][31-20E3][1f915]|[1f4e5][32-20E3][34-20E3][36-20E3][dice]|,
,Gold Cauldron_downgraded,Do [sword]1 damage,Gold Cauldron_downgraded,[1f4e4][sword][31-20E3][1f915],
,Silver Cauldron,Do [sword]1 damage[;]|get an odd dice,[1f948-border][1f958-border],[1f4e4][sword][31-20E3][1f915]|[1f4e5][31-20E3][33-20E3][35-20E3][dice],
,Silver Cauldron_upgraded,Do [sword]1[;] get an odd dice|[gray](Reuseable),Silver Cauldron_upgraded,[1f4e4][sword][31-20E3][1f915]|[1f4e5][31-20E3][33-20E3][35-20E3][dice]|,
,Silver Cauldron_downgraded,Do [sword]1 damage,Silver Cauldron_downgraded,[1f4e4][sword][31-20E3][1f915],
,Crucible,Roll a burning dice|[gray](Reuseable),[1f963-border],[1f504][fire][dice]|,
,Crucible_upgraded,Roll four new burning dice,Crucible_upgraded,[1f504][34-20E3][fire][dice],
,Crucible_downgraded,Roll a burning dice,Crucible_downgraded,[1f504][fire][dice],
,Absolute Zero,Do [ice]25 damage[;]|freeze all dice,[2b06-border][1f976-border],[1f4e4][ice][32-20E3][35-20E3][1f915]|[ice][267e][dice],
,Absolute Zero_upgraded,Do [ice]30 damage[;]|freeze all dice,Absolute Zero_upgraded,[1f4e4][ice][33-20E3][30-20E3][1f915]|[ice][267e][dice],
,Absolute Zero_downgraded,Do [ice]12 damage[;]|freeze a dice,Absolute Zero_downgraded,[1f4e4][ice][31-20E3][32-20E3][1f915]|[ice][dice],
,Headbutt,Do [sword]<d6> damage|[gray](Reuseable),[1f646-border][1f44a-border],[1f4e4][sword]<d6>[1f915]|,
,Ink Splat,Blind [blind]1 dice,[1f991-border][26ab-border],[blind][31-20E3][dice],
,Ink Splat_upgraded,Blind [blind]1 dice|[gray](Reuseable),Ink Splat_upgraded,[blind][31-20E3][dice]|,
,Seize,Lock [lock]1 dice,[1f590-border],[lock][31-20E3][dice],
,Spatula,Flip a dice upside down,[1f643-border],[1f500][dice],
,Spatula_upgraded,Flip a dice upside down|[gray](Reuseable),Spatula_upgraded,[1f500][dice]|,
,Quarterstaff,Do [sword]<d6> damage[;] on 4[;]|return the dice,[34-20E3-border][1f9af-border],[1f4e4][sword]<d6>[1f915]|[34-20E3][27a1][21aa][1f449][dice],
,Bear Maul,Do [sword]<d6> damage,[1f43b-border][1f590-border],[1f4e4][sword]<d6>[1f915],
,Hibernate,Recover [heal]<d6> health,[2603-border][1f4a4-border],[heal]<d6>,
,Bear Roar,Weaken [weaken]3 equipment,[1f43b-border][1f5e3-border],[weaken][33-20E3][1f6e0],
,Bear Roar_upgraded,Weaken [weaken]4 equipment,Bear Roar_upgraded,[weaken][34-20E3][1f6e0],
,Bear Roar_downgraded,Weaken [weaken]1 equipment,Bear Roar_downgraded,[weaken][31-20E3][1f6e0],
,Bear Charge,Repeat next action,[1f43b-border][1f3c3-border],[1f501][23e9][1f590],
,Juggling Ball,Do [sword]<d6> damage[;]|get a new dice,[1f939-border],[1f4e4][sword]<d6>[1f915]|[1f4e5][dice],
,Juggling Ball_downgraded,Do [sword]<d6> damage,Juggling Ball_downgraded,[1f4e4][sword]<d6>[1f915],
,Ice Age,Freeze all dice,[1f9ca-border][1f5d3-border],[ice][267e][dice],
,Camouflage,Blind [blind]2 dice,[1f978-border],[blind][32-20E3][dice],
,Camouflage_upgraded,Blind [blind]4 dice,Camouflage_upgraded,[blind][34-20E3][dice],
,Camouflage_downgraded,Blind [blind]1 dice,Camouflage_downgraded,[blind][31-20E3][dice],
,Overwhelm,[sword]<timesused> dmg[;] +[sword]1 each use|[gray](Reuseable),[1f30a-border],[sword]<timesused>[1f915]|[2795][sword][31-20E3][267e][1f590]|,
,Spike,Do [sword]3 damage,[1f4cc-border],[1f4e4][sword][33-20E3][1f915],
,Spike_weakened,Do [sword]1 damage,Spike_weakened,[1f4e4][sword][31-20E3][1f915],
,Spike_downgraded,Do [sword]1 damage,Spike_downgraded,[1f4e4][sword][31-20E3][1f915],
,Sharp Spike,Do [sword]<double> damage,[1f4cc-border][1f4cc-border],[1f4e4][sword][32-20E3][2716]<d6>[1f915],
,Sharp Spike_upgraded,Do [sword]<triple> damage,Sharp Spike_upgraded,[1f4e4][sword][33-20E3][2716]<d6>[1f915],
,Sharp Spike_downgraded,Do [sword]<d6> damage,Sharp Spike_downgraded,[1f4e4][sword]<d6>[1f915],
,Sneeze,Reduce the countdowns|on all equipment by <slotdoubles>,[1f927-border],[267e][1f6e0][1f9ee][2796]<slotdoubles>,
,Sneeze_upgraded,Reduce the countdowns|on all equipment to zero,Sneeze_upgraded,[267e][1f9ee][25b6][30-20E3],
,Sneeze_downgraded,Reduce the countdowns|on all equipment by 6,Sneeze_downgraded,[267e][1f6e0][1f9ee][2796][36-20E3],
,Blender,Split a dice into 1s,[1f9c3-border][1f5a8-border],[1fa9a][dice][25b6][dice][31-20E3],
,Blender_upgraded,Split a dice into 1s[;]|and roll an extra 1,Blender_upgraded,[1fa9a][dice][25b6][dice][31-20E3]|[1f504][31-20E3],
,The Curse,Do [sword]<d6> damage[;]|Inflict curse,[curse-border],[1f4e4][sword]<d6>[1f915]|[1f4e4][curse],
,The Curse_downgraded,Inflict curse,The Curse_downgraded,[1f4e4][curse],
,The Wind,Do [sword]<d6> damage[;]|Lock [lock]2 dice,[1f32c-border],[1f4e4][sword]<d6>[1f915]|[lock][32-20E3][dice],
,The Wind_downgraded,Lock [lock]2 dice,The Wind_downgraded,[lock][32-20E3][dice],
,The Shadow,Do [sword]<d6> damage[;]|Blind [blind]3 dice,[1f464-border],[1f4e4][sword]<d6>[1f915]|[blind][33-20E3][dice],
,The Shadow_downgraded,Blind [blind]3 dice,The Shadow_downgraded,[blind][33-20E3][dice],
,The Cold,Do [ice]<d6> damage[;]|Freeze [ice]4 dice,[1f976-border],[1f4e4][ice]<d6>[1f915]|[ice][34-20E3][dice],
,The Cold_downgraded,Freeze [ice]4 dice,The Cold_downgraded,[ice][34-20E3][dice],
,The Ashes,Do [fire]<d6> damage[;]|Burn [fire]5 dice,[fire-border][1f4a8-border],[1f4e4][fire]<d6>[1f915]|[fire][35-20E3][dice],
,The Ashes_downgraded,Burn [fire]5 dice,The Ashes_downgraded,[fire][35-20E3][dice],
,The Storm,Do [shock]<d6> damage[;]|Inflict [shock]6 shock,[26c8-border],[1f4e4][shock]<d6>[1f915]|[1f4e4][shock][36-20E3],
,The Storm_upgraded,Do [shock]<d6> damage[;]|Shock [shock]6 and silence,The Storm_upgraded,[1f4e4][shock]<d6>[1f915]|[shock][36-20E3][silence],
,The Storm_downgraded,Inflict [shock]6 shock,The Storm_downgraded,[1f4e4][shock][36-20E3],
,Mechanical Arm,Do [sword]<dicerolled> damage[;]|add [sword]1 each roll,[1f9be-border],[1f4e4][sword]<dicerolled>[1f915]|[2795][sword][31-20E3][267e][1f504],
,Forcefield,Add [shield]<dicerolled> shield[;]|add [shield]1 each roll,[1f32c-border][shield-border],[2795][shield]<dicerolled>|[2795][shield][31-20E3][267e][1f504],
,Cheat Code,Increase Jackpot|range this turn,[1f5a5-border][1f9b9-border],[2795][1f389][1f4cf][1f449][231b],
,Cheat Code_upgraded,Increase Jackpot|range by 2 this turn,Cheat Code_upgraded,[2795][1f389][1f4cf][32-20E3][1f449][231b],
,Fixed Payout,Use an additional|Jackpot ability,[1f64b-border][1f389-border],[1f389][27a1][1f39b][1f39b],
,Fixed Payout_upgraded,Use all additional|Jackpot abilities,Fixed Payout_upgraded,[1f389][27a1][267e][1f39b],
,Heat Sink,Reduce CPU|counter by <d6>,[2796-border][1f321-border],[1f5a5][2796]<d6>,
,Heat Sink_upgraded,Reduce CPU|counter by 7,Heat Sink_upgraded,[1f5a5][2796][37-20E3],
,Increment,CPU counter + 1|[gray](Reuseable),[2795-border][1f5a5-border],[1f5a5][2795][31-20E3]|,
,Missile Launcher,Do [fire]<d6> damage[;]|Burn [fire]2 dice,[1f4a5-border][1f93e-border],[1f4e4][fire]<d6>[1f915]|[fire][32-20E3][dice],
,Buster Sword,Do [sword]<d6> damage[;]|immune to errors,[1f432-border][sword-border],[1f4e4][sword]<d6>[1f915]|[26d4][26a0],
,Ultima Weapon,Do [sword]<d6> damage[;]|double on jackpot,[2b06-border][2694-border],[1f4e4][sword]<d6>[1f915]|[1f389][27a1][32-20E3][2716],
,Ray Gun,Do [sword]3 damage|[gray](Reuseable),[1f52b-border],[1f4e4][sword][33-20E3][1f915]|,
,Ray Gun_upgraded,Do [sword]4 damage|[gray](Reuseable),Ray Gun_upgraded,[1f4e4][sword][34-20E3][1f915]|,
,Benchmark,Do [sword]<dicetotal> damage|[gray](equal to total roll),[23f1-border][1f5a5-border],[1f4e4][sword]<dicetotal>[1f915]|[2795][267e][dice][1f504],
,Short Circuit,Do [sword]<d6> damage[;]|add random status,[2796-border][27bf-border],[1f4e4][sword]<d6>[1f915]|[2795][2753][1f300],
,Short Circuit_downgraded,Add random status,Short Circuit_downgraded,[2795][2753][1f300],
,Bumpblade,Do [sword]1 damage[;] get|new dice (value +1),[2795-border][1f5e1-border],[1f4e4][sword][31-20E3][1f915]|[1f4e5][dice][1f522][2795][31-20E3],
,Bumpblade_upgraded,[sword]1 damage[;] bump dice|[gray](Reuseable),Bumpblade_upgraded,[sword][31-20E3][1f915]|[dice][1f522][2795][31-20E3]|,
,Lock 1,Unlocks Keyblade[;]|return the dice,[lock-border][31-20E3-border],[1f4e5][1f511][1f5e1]|[21aa][1f449][dice],
,Lock 2,Unlocks Keyblade[;]|return the dice,[lock-border][32-20E3-border],[1f4e5][1f511][1f5e1]|[21aa][1f449][dice],
,Lock 3,Unlocks Keyblade[;]|return the dice,[lock-border][33-20E3-border],[1f4e5][1f511][1f5e1]|[21aa][1f449][dice],
,Lock 4,Unlocks Keyblade[;]|return the dice,[lock-border][34-20E3-border],[1f4e5][1f511][1f5e1]|[21aa][1f449][dice],
,Lock 5,Unlocks Keyblade[;]|return the dice,[lock-border][35-20E3-border],[1f4e5][1f511][1f5e1]|[21aa][1f449][dice],
,Lock 6,Unlocks Keyblade[;]|return the dice,[lock-border][36-20E3-border],[1f4e5][1f511][1f5e1]|[21aa][1f449][dice],
,Lock 1_upgraded,Unlocks Keyblade+[;]|return the dice,Lock 1_upgraded,[1f4e5][1f511][1f5e1][2795]|[21aa][1f449][dice],
,Lock 2_upgraded,Unlocks Keyblade+[;]|return the dice,Lock 2_upgraded,[1f4e5][1f511][1f5e1][2795]|[21aa][1f449][dice],
,Lock 3_upgraded,Unlocks Keyblade+[;]|return the dice,Lock 3_upgraded,[1f4e5][1f511][1f5e1][2795]|[21aa][1f449][dice],
,Lock 4_upgraded,Unlocks Keyblade+[;]|return the dice,Lock 4_upgraded,[1f4e5][1f511][1f5e1][2795]|[21aa][1f449][dice],
,Lock 5_upgraded,Unlocks Keyblade+[;]|return the dice,Lock 5_upgraded,[1f4e5][1f511][1f5e1][2795]|[21aa][1f449][dice],
,Lock 6_upgraded,Unlocks Keyblade+[;]|return the dice,Lock 6_upgraded,[1f4e5][1f511][1f5e1][2795]|[21aa][1f449][dice],
,Keyblade,Do [sword]3 damage[;]|return the dice,[1f511-border][1f5e1-border],[1f4e4][sword][33-20E3][1f915]|[21aa][1f449][dice],
,Keyblade_upgraded,Do [sword]4 damage[;]|return the dice,Keyblade_upgraded,[1f4e4][sword][34-20E3][1f915]|[21aa][1f449][dice],
,Keyblade_downgraded,Do [sword]1 damage,Keyblade_downgraded,[1f4e4][sword][31-20E3][1f915],
,Spiky Potion,Do [sword]8 damage|[gray](once per battle),[1f4cc-border][1f9ea-border],[1f4e4][sword][38-20E3][1f915]|[31-20E3][1f590][267e][2694],
,Spiky Potion_downgraded,Do [sword]4 damage|[gray](once per battle),Spiky Potion_downgraded,[1f4e4][sword][34-20E3][1f915]|[31-20E3][1f590][267e][2694],
,Fire Potion,[fire]8 damage[;] burn all dice|[gray](once per battle),[fire-border][1f9ea-border],[fire][38-20E3][1f915]|[fire][267e][dice]|[31-20E3][1f590][267e][2694],
,Fire Potion_downgraded,Do [fire]4 damage|[gray](once per battle),Fire Potion_downgraded,[1f4e4][fire][34-20E3][1f915]|[31-20E3][1f590][267e][2694],
,Toxic Potion,Inflict [poison]5 poison|[gray](once per battle),[2623-border][1f9ea-border],[1f4e4][poison][35-20E3]|[31-20E3][1f590][267e][2694],
,Toxic Potion_downgraded,Inflict [poison]3 poison,Toxic Potion_downgraded,[1f4e4][poison][33-20E3],
,Bear Potion,Transform into a bear[;]|recover [heal]12 health,[1f43b-border][1f9ea-border],[1f4e5][1f43b][1f457]|[heal][31-20E3][32-20E3],
,Bear Potion_downgraded,Transform into a bear,Bear Potion_downgraded,[1f4e5][1f43b][1f457],
,Cardboard Sword,Do [sword]<cardboardsword> damage|Lose [sword]2 each use,[1f4e6-border][sword-border],[1f4e4][sword]<cardboardsword>[1f915]|[2796][sword][32-20E3][267e][1f590],
,Cardboard Sword_upgraded,Do [sword]<upgradedcardboardsword> damage|Lose [sword]1 each use,Cardboard Sword_upgraded,[1f4e4][sword]<upgradedcardboardsword>[1f915]|[2796][sword][31-20E3][267e][1f590],
,Glue,Lock [lock]1 dice|[gray](Reuseable),[lock-border],[lock][31-20E3][dice]|,
,Campfire,[fire]<timesused> dmg[;] burn a dice|Add +[fire]1 each use,[1f3d5-border][fire-border],[fire]<timesused>[1f915]|[fire][dice]|[2795][fire][31-20E3][267e][1f590],
,Campfire_upgraded,[fire]<timesused> dmg[;] burn two dice|Add +[fire]1 each use,Campfire_upgraded,[fire]<timesused>[1f915]|[fire][dice][dice]|[2795][fire][31-20E3][267e][1f590],
,Pocket Knife,Do [sword]<d6> damage|[gray](Reuseable),[2b07-border][1f5e1-border],[1f4e4][sword]<d6>[1f915]|,
,Battle Axe,Do [sword]<double> damage,[2694-border][1fa93-border],[1f4e4][sword][32-20E3][2716]<d6>[1f915],
,Rat,Inflict [poison]1 poison[;]|roll a new dice,[1f400-border],[1f4e4][poison][31-20E3]|[1f504][dice],
,Rat_downgraded,Inflict [poison]1 poison,Rat_downgraded,[1f4e4][poison][31-20E3],
,Rat_upgraded,Inflict [poison]1 poison[;] roll a|dice with value 3 or more,Rat_upgraded,[1f4e4][poison][31-20E3]|[1f504][dice][1f522][2934][33-20E3],
,Breadcrumbs,Heal +[heart]1[;] add +[shield]1|[gray](Reuseable),[1f35e-border],[2795][heart][31-20E3]|[2795][shield][31-20E3]|,
,Breadcrumbs_downgraded,Add +[shield]1|[gray](Reuseable),Breadcrumbs_downgraded,[2795][shield][31-20E3]|,
,Echo Blast,Do [weaken]<d6> damage|[]+[weaken]2 weaken,[21aa-border][1f50a-border],[1f4e4][weaken]<d6>[1f915][2795][weaken][32-20E3],
,Crystallize,Create a random|crystal weapon,[2795-border][1f48e-border],[1f4e5][2753][1f48e][1f6e0],
,Crystallize_downgraded,No effect,Crystallize_downgraded,[1f610],
,Earth Crystal,Do [weaken]<d6> damage|[weaken]Weakens enemy,[weaken-border][1f48e-border],[1f4e4][weaken]<d6>[1f915]|[weaken][2197],
,Fire Crystal,Deal [fire]<d6> damage|Burn [fire]1 dice,[fire-border][1f48e-border],[1f4e4][fire]<d6>[1f915]|[fire][31-20E3][dice],
,Air Crystal,Do [shock]<d6> damage[;]|[]+[shock]1 shock,[1f32c-border][1f48e-border],[1f4e4][shock]<d6>[1f915]|[2795][shock][31-20E3],
,Ice Crystal,Do [ice]<d6> damage[;]|Freeze [ice]1 dice,[1f9ca-border][1f48e-border],[1f4e4][ice]<d6>[1f915]|[ice][31-20E3][dice],
,Power Crystal,Gain a random blessing,[1f50c-border][1f48e-border],[1f4e5][2753][1f642][1f300],
,Smokey Crystal,Curse enemy,[1f32b-border][1f48e-border],[curse][2197],
,Life Crystal,Recover [heal]<d6> health,[26d1-border][1f48e-border],[heal]<d6>,
,Hollow Crystal,Do [sword]<d6> damage,[2b55-border][1f48e-border],[1f4e4][sword]<d6>[1f915],
,Catastrophe,Inflict [shock] shock[;]|[fire] burn[;] and [ice] freeze,[1f92f-border],[1f4e4][shock][fire][ice],
,Catastrophe_upgraded,Inflict [shock]2 shock[;]|[fire]2 burn[;] [ice]2 freeze,Catastrophe_upgraded,[1f4e4][shock][32-20E3]|[fire][32-20E3]|[ice][32-20E3],
,Catastrophe_downgraded,Inflict [shock] shock[;]|[fire] burn[;] or [ice] freeze,Catastrophe_downgraded,[1f4e4][2753][shock][fire][ice],
,Whip,Do [fire]<d6> damage[;]|on 6[;] inflict [fire]1 burn,[1f4a3-border],[1f4e4][fire]<d6>[1f915]|[36-20E3][27a1][1f4e4][fire][31-20E3],
,Whip_upgraded,Do [fire]<d6> damage[;]|on 6[;] inflict [fire]2 burn,Whip_upgraded,[1f4e4][fire]<d6>[1f915]|[36-20E3][27a1][1f4e4][fire][32-20E3],
,Whip_downgraded,Do [fire]<d6> damage,Whip_downgraded,[1f4e4][fire]<d6>[1f915],
,Stumble,Lose [heart]1 health,[1f938-border],[2796][heart][31-20E3],
,Stumble_upgraded,Lose [heart]1 health[;]|return the dice,Stumble_upgraded,[2796][heart][31-20E3]|[21aa][1f449][dice],
,Stumble_downgraded,Lose [heart]2 health,Stumble_downgraded,[2796][heart][32-20E3],
,Bop,Do [sword]3 damage,[1f91b-border],[1f4e4][sword][33-20E3][1f915],
,Bop_upgraded,Do [sword]5 damage,Bop_upgraded,[1f4e4][sword][35-20E3][1f915],
,Bop_downgraded,Do [sword]2 damage,Bop_downgraded,[1f4e4][sword][32-20E3][1f915],
,Deflect,Block [shield]2 damage,[21a9-border],[shield][32-20E3][1f915],
,Deflect_upgraded,Block [shield]3 damage,Deflect_upgraded,[shield][33-20E3][1f915],
,Call for Backup Warrior,Warrior Smash|[sword]<var:bopcount> dmg[;] +1 per bop,[1f64b-border][2694-border][1f9d1-border],[2694][1f9d1][1f494]|[sword]<var:bopcount>[1f915][;][2795][31-20E3][267e][1f91b],
,Call for Backup Thief,Yoink|Borrow equipment,[1f64b-border][1f4b0-border][1f9d1-border],[23cf]|[1f4e5][2197][1f6e0],
,Call for Backup Robot,Slot Machine|Get random equipment,[1f64b-border][1f916-border],[1f3b0]|[1f4e5][2753][1f6e0],
,Call for Backup Witch,Magic Trick|Discard current hand,[1f64b-border][1f9d9-200D-2640-FE0F-border],[1fa84]|[1f450][1f6e0][1f6e0][1f6e0],
,Call for Backup Inventor,Inspiration|Copy next card,[1f64b-border][1f39b-border][1f9d1-border],[261d][1f600]|[23e9][1f6e0][25b6][1f6e0][1f6e0],
,Call for Backup Warrior_downgraded,Pea Gun|Do [sword]3 damage,Call for Backup Warrior_downgraded,[1f7e2][1f93e]|[1f4e4][sword][33-20E3][1f915],
,Call for Backup Thief_downgraded,Snake Eyes|Roll 2 ones,Call for Backup Thief_downgraded,[1f40d][1f440]|[1f504][32-20E3][dice][1f522][31-20E3],
,Call for Backup Robot_downgraded,Regenerate|Heal [heal]3 health,Call for Backup Robot_downgraded,[heal]|[heal][33-20E3][heart],
,Call for Backup Witch_downgraded,Magic Dice|Roll an extra dice,Call for Backup Witch_downgraded,[1fa84][dice]|[2795][31-20E3][dice],
,Call for Backup Inventor_downgraded,Barricade|Shield +[shield]3,Call for Backup Inventor_downgraded,[1f6a7]|[shield][2795][shield][33-20E3],
,Sweets,Heal [heal]2. If above max hp[;]|convert excess to shield,[1f36c-border],[heal][32-20E3]|[heart][2934][heart][1f4ca][27a1][1f449][2934][heart][shield],
,Sweets_upgraded,Heal [heal]3. If above max hp[;]|convert excess to shield,Sweets_upgraded,[heal][33-20E3]|[heart][2934][heart][1f4ca][27a1][1f449][2934][heart][shield],
,Sweets_downgraded,Heal [heal]1 health,Sweets_downgraded,[heal][31-20E3][heart],
,Liquorice,Add [poison]2 poison,[26ab-border][1f36c-border],[2795][poison][32-20E3],
,Liquorice_upgraded,Add [poison]3 poison,Liquorice_upgraded,[2795][poison][33-20E3],
,Liquorice_downgraded,Add [poison]1 poison,Liquorice_downgraded,[2795][poison][31-20E3],
,Wind up Fist,Do [sword]5 damage,[23f0-border][1f44a-border],[1f4e4][sword][35-20E3][1f915],
,Wind up Fist_upgraded,Do [sword]11 damage,Wind up Fist_upgraded,[1f4e4][sword][31-20E3][31-20E3][1f915],
,Wind up Fist_downgraded,Do [sword]4 damage,Wind up Fist_downgraded,[1f4e4][sword][34-20E3][1f915],
,Buzzer,Inflict [shock]1 shock,[1f91d-border][shock-border],[1f4e4][shock][31-20E3],
,Punchline,Do [sword]5 damage,[1f92d-border],[1f4e4][sword][35-20E3][1f915],
,Punchline_downgraded,Do [sword]2 damage,Punchline_downgraded,[1f4e4][sword][32-20E3][1f915],
,Dice Cannon,Do [sword]1 damage|[gray](Reuseable),[dice-border][1f52b-border],[1f4e4][sword][31-20E3][1f915]|,
,Dice Cannon_upgraded,Do [sword]2 damage|[gray](Reuseable),Dice Cannon_upgraded,[1f4e4][sword][32-20E3][1f915]|,
,Grand Finale,Do [sword]15 damage,[2b06-border][23ed-border],[1f4e4][sword][31-20E3][35-20E3][1f915],
,Grand Finale_downgraded,Do [sword]5 damage,Grand Finale_downgraded,[1f4e4][sword][35-20E3][1f915],
,Grand Finale_weakened,Do [sword]5 damage,Grand Finale_weakened,[1f4e4][sword][35-20E3][1f915],
,Encore,Take an extra turn|[gray](once per battle),[23ed-border][1f501-border],[1f4e5][231b]|[31-20E3][1f590][267e][2694],
,Finders Keepers,After the battle[comma] keep|one piece of equipment,[1f440-border][1f4e5-border],[23ed][1f449][2694][1f4e5][2197][1f6e0],
,Grindstone,Increase all equipment|durability by 1,[1f6f9-border][1faa8-border],[2795][267e][1f6e0][23-20E3][31-20E3],
,Silver Dagger,Do [sword]<d6> damage[;]|if odd[;] get a new dice,[1f948-border][1f5e1-border],[1f4e4][sword]<d6>[1f915]|[31-20E3][33-20E3][35-20E3][27a1][1f4e5][dice],
,Gold Dagger,Do [sword]<d6> damage[;]|if even[;] get a new dice,[1f947-border][1f5e1-border],[1f4e4][sword]<d6>[1f915]|[32-20E3][34-20E3][36-20E3][27a1][1f4e5][dice],
,Ice Shatter,Do [ice]<d6> damage[;]|+[ice]3 if enemy is frozen,[1f9ca-border][1f494-border],[1f4e4][ice]<d6>[1f915]||[2197][ice][27a1][2795][ice][33-20E3],
,Ice Shatter_upgraded,Do [ice]<d6> damage[;]|double if enemy is frozen,Ice Shatter_upgraded,[1f4e4][ice]<d6>[1f915]|[2197][ice][27a1][32-20E3][2716],
,Flame Blast,Do [fire]6 damage for|each burning enemy dice,[fire-border][1f32c-border],[1f4e4][fire][36-20E3][1f915][267e][fire][2197][dice],
,Flame Blast_upgraded,Do [fire]7 damage for|each burning enemy dice,Flame Blast_upgraded,[1f4e4][fire][37-20E3][1f915][267e][fire][2197][dice],
,Flame Blast_downgraded,Do [fire]4 damage for|each burning enemy dice,Flame Blast_downgraded,[1f4e4][fire][34-20E3][1f915][267e][fire][2197][dice],
,High Voltage,Do [shock]<d6> damage[;] return|dice if enemy is shocked,[2b06-border][shock-border],[1f4e4][shock]<d6>[1f915]|[2197][shock][27a1][21aa][dice],
,Resonance,Do [weaken]3 damage[;]|+[weaken]2 if enemy is weak,[1f493-border],[1f4e4][weaken][33-20E3][1f915]||[2197][weaken][27a1][2795][weaken][32-20E3],
