Changed?,String,String_en,Location,Notes,
,Super {enemyname},[1f9b8-border]{enemyname},Super enemies,Some enemies are shown as super versions with more attack power,
,Full health!,[heart-border][2934-border][heart-border][1f4ca-border],Map Screen,If you try to collect an apple when you have full health,
,Upgrade Equipment,[1f6e0-border][2795-border],Shop,displayed in shops when upgrades can be purchased,
,Complete this episode|to unlock hard mode,[1f449-border][1f4fa-border][2714-border][27a1-border][1f616-border][1f4fa-border][26d4-border][lock-border],Equipment Selection,shown in bonus round above certain equipment choices,
,Enemy equipment is upgraded,[2197-border][1f6e0-border][2795-border],Equipment Selection,shown in bonus round above certain equipment choices,
,Next,[23e9-border],Episode Completion,Button,
,Continue,[23e9-border],Episode Completion,Button,
,New Game,[1f501-border][1f3ae-border],Continue Screen,Button,
,View,[1f440-border],Episode Completion,Button,
,Compression Errors,[1f5dc-border][26a0-border],Episode Selection,New episode for launch,
,Blocked!,[1f6a7-border],Combat,Displayed if the player blocks a status effect,
,Immune!,[1f6a7-border],Combat,Displayed if the player or enemy is immune to a status effect,
,SPELL SLOTS: THREE SPELLS PREPARED,[1f6e0-border][1f4ee-border][33-20e3-border][23ee-border][1f6e0-border],Witch Spellbook,,
,SPELL SLOTS: FOUR SPELLS PREPARED,[1f6e0-border][1f4ee-border][34-20e3-border][23ee-border][1f6e0-border],Witch Spellbook,,
,You win! The enemy joins your party!,[1f3c6-border][1f9d1-border][1f9d1-border][1f9d1-border][1f4e5-border][2197-border],Final Episode,Recruit enemy screen in final episode,
,Welcome!,[1f64c-border],Final Episode,Recruit enemy screen in final episode,
,Steal All,[1f4e5-border][267e-border],Finders Keepers,,
,{partyleady}'s rebellion was defeated...,{partyleady}[26b0-border],Final Episode,,
,{playername} was knocked out!,{playername}[26b0-border],Combat,,
,Party,[1f9d1-border][1f9d1-border][1f9d1-border],Final Episode,Shown where equipment button would go on map screen,
,Collect all,[1f4e5-border][267e-border],Finders Keepers,,
,Ignore them,[26d4-border][1f4e5-border],Finders Keepers,,
,You have found a booster pack!,[1f440-border][1f4bc-border],Jester Combat,,
,You have found new items!,[1f440-border][1f6e0-border][1f6e0-border][1f6e0-border],Jester Combat,,
,You can either collect all of them[;] or ignore them.,[1f4e5-border][267e-border][2753-border],Witch Spellbook,,
,Choose a rule change:,[2795-border][1f4dc-border][2753-border],Remix screen,,
,Current rule changes,[1f4dc-border][1f4dc-border][1f4dc-border],Remix screen,,
,Choose your starting gear!,[23ee-border][1f6e0-border][2753-border],Remix screen,,
,Maximum health increased by [heart]{healthincrease}[]!,[heart-border][1f4ca-border][2795-border]{healthincrease},Level up,Shown on level up to indicate HP change,
,Maximum health reduced by [heart]{healthincrease}[]...,[heart-border][1f4ca-border][2796-border]{healthincrease},Level up,Shown on level up to indicate HP change,
,But your maximum health doesn't increase...\n,[heart-border][1f4ca-border][26d4-border][2795-border],Level up,Shown on level up to indicate HP change,
,MUST EQUAL {totalvalue},[2757-border][1f522-border][2795-border][1f522-border]{totalvalue},Combat,Shown on dice slots that require a total value,
,Unshock,[26d4-border][shock-border],Combat,Shown in parallel universe when equipment is shocked – button,
,Lose [heart]3 hp,[2796-border][heart-border][33-20e3-border],Combat,Shown in parallel universe when equipment is shocked – button description,
,Cancel,[25c0-border],Combat,,
,is weak to shock,[shock-border][1f915-border][2716-border][32-20e3-border],Combat,,
,Final Showdown,[23ed-border][1f4fa-border],Final Episode,Shown in a big sign in the final episode,
,Select a teammate to restore [heart]10 health,[1f9d1-border][2753-border][2795-border][heart-border][31-20e3-border][30-20e3-border],Final Episode,In apples on the finale episode,
,Who will restore [heart]10 health?,[1f9d1-border][2753-border][2795-border][heart-border][31-20e3-border][30-20e3-border],Final Episode,In apples on the finale episode,
,At max health,[2934-border][heart-border][1f4ca-border],Final Episode,In apples on the finale episode,
,The Elimination Round,[26b0-border][1f4fa-border],Episode Selection,Updated name for classic hard mode,
,{playername} versus...,{playername}[2694-border],Boss encounter,Shown before encountering a boss,
,silenced,[silence-border],Combat,Shown on healthbar when Silence is applied,
,Select a spell|to replace,[1f4d3-border][1f6e0-border][2753-border][27a1-border][1f5d1-border],Found Spell,Two lines,
,Take [poison]<countdown> damage at the|end of this turn,[1f6d1-border][231b-border][27a1-border][1f4e5-border][poison-border]<countdown>[1f915-border],Combat,,
,Last fighter,[23ed-border][1f9d1-border],Final Episode,,
,{totalpartysize} fighters remaining,[1f9d1-border][1f9d1-border][1f9d1-border]{totalpartysize},Final Episode,Eg 4 fighters remaining,
,Party {currentpartymember}/{totalpartysize},[1f9d1-border]{currentpartymember}[1f9d1-border][1f9d1-border][1f9d1-border]{totalpartysize},Final Episode,Shown in the finale episode in the view party screen – the third person on the list of six would display as: Party 3/6,
,Heal,[heal-border],Final Episode,,
,Episode complete!,[1f3c6-border][1f4fa-border],Episode Completion,,
,{character} episode {number}: {episodename},{character}[1f4fa-border]{number}{episodename},Episode Completion,eg Warrior episode 4: Elimination Round,
,Fight,[2694-border],Gamepad,Prompt when starting combat when using gamepad,
,Open,[1f9f0-border],Gamepad,Prompt when opening chest when using gamepad,
,Heal,[heal-border],Gamepad,Prompt when collecting apple when using gamepad,
,Go,[1fa9c-border],Gamepad,Prompt when descending stairs when using gamepad,
,Upgrade,[1f6e0-border][2795-border],Gamepad,Prompt when visiting upgrade station when using gamepad,
,Copy,[1f6e0-border][27a1-border][1f6e0-border][1f6e0-border],Gamepad,Prompt when visiting copyshop when using gamepad,
,Buy,[1f6d2-border],Gamepad,Prompt when visiting shop when using gamepad,
,View,[1f440-border],Gamepad,Prompt when starting combat when using gamepad,
,Yoinked!,[23cf-border],Bounty Hunter Ability,Appears when Bounty Hunter uses Yoink to steal a card,
,I've borrowed this.,[2197-border][1f4e5-border][1f449-border][1f6e0-border],Bounty Hunter Ability,Appears when Bounty Hunter uses Yoink to steal a card,
,Signed[;] {enemyname},[270d-border]{enemyname},Bounty Hunter Ability,Appears when Bounty Hunter uses Yoink to steal a card,
,Activate,[1f590-border],Gamepad,Prompt to confirm using limit break,
,[yellow][medium](ready in {limitbreakhp} hp)[],{limitbreakhp}[1f915-border][27a1-border][1f590-border],Limit Break,,
,Options,[2699-border],Options Menu,,
,Unavailable (Fury?),[1f937-border][fury-border],Combat,Displayed on unavailable cards after using parallel universe Fury,
,Unavailable (Burn?),[1f937-border][fire-border],Combat,Displayed on unavailable cards after using parallel universe Burn,
,Broken_Mirror,[1f494-border][1fa9e-border],Jinxes,Quick hack to fix translation on this Jinx name,
,Arf_Arf_Arf,[1f415-border][1f415-border][1f415-border],Jinxes,Quick hack to fix translation on this Jinx name,
,Play these dice,,Combat,Witch's spellbook tutorial text with gamepad - full string is: Play these dice on the Spellbook to create equipment,
,Unavailable (Odd Turn),[1f937-border][231b-border][31-20e3-border][33-20e3-border][35-20e3-border],Combat,Displayed on polar star if unavailable,
,Unavailable (Even Turn),[1f937-border][231b-border][32-20e3-border][34-20e3-border][36-20e3-border],Combat,Displayed on polar star+ if unavailable,
,In 1 turn[;] {jinxaction}.,[31-20e3-border][231b-border][27a1-border]{jinxaction},Jinxes,Format of the tool tip for jinxes. This one is a little weird: please ask if you're unsure or have any questions,
,In {numturns} turns[;] {jinxaction}.,{numturns}[231b-border][27a1-border]{jinxaction},Jinxes,Format of the tool tip for jinxes. This one is a little weird: please ask if you're unsure or have any questions,
,Take [sword]%VAR% damage,[1f4e5-border][sword-border]%VAR%[1f915-border],Jinxes,Displayed on the jinx card itself - treat %VAR% as a symbol like <d6> [shock] etc,
,take [sword]%VAR% damage,[1f4e5-border][sword-border]%VAR%[1f915-border],Jinxes,Displayed on the jinx tool tip as {jinxaction} in the phrase (In {numturns} turns[;] {jinxaction}.),
,Take [fire]%VAR% damage,[1f4e5-border][fire-border]%VAR%[1f915-border],Jinxes,Displayed on the jinx card itself - treat %VAR% as a symbol like <d6> [shock] etc,
,take [fire]%VAR% damage,[1f4e5-border][fire-border]%VAR%[1f915-border],Jinxes,Displayed on the jinx tool tip as {jinxaction} in the phrase (In {numturns} turns[;] {jinxaction}.),
,Take [ice]%VAR% damage,[1f4e5-border][ice-border]%VAR%[1f915-border],Jinxes,Displayed on the jinx card itself - treat %VAR% as a symbol like <d6> [shock] etc,
,take [ice]%VAR% damage,[1f4e5-border][ice-border]%VAR%[1f915-border],Jinxes,Displayed on the jinx tool tip as {jinxaction} in the phrase (In {numturns} turns[;] {jinxaction}.),
,Heal [heart]%VAR% health,[1f4e5-border][heart-border]%VAR%,Jinxes,Displayed on the jinx card itself - treat %VAR% as a symbol like <d6> [shock] etc,
,heal [heart]%VAR% health,[1f4e5-border][heart-border]%VAR%,Jinxes,Displayed on the jinx tool tip as {jinxaction} in the phrase (In {numturns} turns[;] {jinxaction}.),
,Gain [fury]Fury,[1f4e5-border][fury-border],Jinxes,Displayed on the jinx card itself - treat %VAR% as a symbol like <d6> [shock] etc,
,gain [fury]Fury,[1f4e5-border][fury-border],Jinxes,Displayed on the jinx tool tip as {jinxaction} in the phrase (In {numturns} turns[;] {jinxaction}.),
,Gain [shield]%VAR% shield,[1f4e5-border][shield-border]%VAR%,Jinxes,Displayed on the jinx card itself - treat %VAR% as a symbol like <d6> [shock] etc,
,gain [shield]%VAR% shield,[1f4e5-border][shield-border]%VAR%,Jinxes,Displayed on the jinx tool tip as {jinxaction} in the phrase (In {numturns} turns[;] {jinxaction}.),
,Gain +1 dice[;] curse yourself,[1f4e5-border][2795-border][31-20e3-border][dice-border][1f4e5-border][curse-border],Jinxes,Displayed on the jinx card itself - treat %VAR% as a symbol like <d6> [shock] etc,
,gain +1 dice and curse yourself,[1f4e5-border][2795-border][31-20e3-border][dice-border][1f4e5-border][curse-border],Jinxes,Displayed on the jinx tool tip as {jinxaction} in the phrase (In {numturns} turns[;] {jinxaction}.),
,revives to full health when defeated (once),[23ee-border][26b0-border][27a1-border][1f501-border][267e-border][heart-border],Combat,Innate text,
,Slots changed!,[1f501-border][1f4ee-border],Equipment,Displayed if the magician remix rule changes the dice slots on a piece of equipment,
,Attempt to flee?,[1f6aa-border][2753-border],Combat,Shown in the top left of combat if you attempt to flee in recent versions,
,Toggle gadget preview,[1f39b-border][2753-border],Language,as it would appear in a language selection menu,
,MOVES LEFT,[1f590-border],Combat,Shown with a number below it when playing with the Keymaster Remix rule - i.e. how many moves you have left on that turn,
,99_Curses,[39-20e3-border][39-20e3-border][curse-border],Jinxes,Name of a special Lady Luck Jinx without an associated equipment name - shown as header,
,Gain [curse]99 curses,[1f4e5-border][curse-border][39-20e3-border][39-20e3-border],Jinxes,Displayed on the jinx card itself (as a complete sentence),
,gain [curse]99 curses,[1f4e5-border][curse-border][39-20e3-border][39-20e3-border],Jinxes,Displayed on the jinx tool tip as {jinxaction} in the phrase (In {numturns} turns[;] {jinxaction}.),
,Burn_all_dice,[fire-border][267e-border][dice-border],Jinxes,Name of a special Lady Luck Jinx without an associated equipment name - shown as header,
,[fire]Burn all dice,[fire-border][267e-border][dice-border],Jinxes,Displayed on the jinx card itself (as a complete sentence),
,[fire]burn all dice,[fire-border][267e-border][dice-border],Jinxes,Displayed on the jinx tool tip as {jinxaction} in the phrase (In {numturns} turns[;] {jinxaction}.),
,Blind_all_dice,[blind-border][267e-border][dice-border],Jinxes,Name of a special Lady Luck Jinx without an associated equipment name - shown as header,
,[blind]Blind all dice,[blind-border][267e-border][dice-border],Jinxes,Displayed on the jinx card itself (as a complete sentence),
,[blind]blind all dice,[blind-border][267e-border][dice-border],Jinxes,Displayed on the jinx tool tip as {jinxaction} in the phrase (In {numturns} turns[;] {jinxaction}.),
,Lock_two_dice,[lock-border][32-20e3-border][dice-border],Jinxes,Name of a special Lady Luck Jinx without an associated equipment name - shown as header,
,Lock [lock]2 dice,[lock-border][32-20e3-border][dice-border],Jinxes,Displayed on the jinx card itself (as a complete sentence),
,lock [lock]2 dice,[lock-border][32-20e3-border][dice-border],Jinxes,Displayed on the jinx tool tip as {jinxaction} in the phrase (In {numturns} turns[;] {jinxaction}.),
,RANGE,[2757-border],Combat,Dice placed here must not be less than the first value and not more than the second value (e.g. range 2-4),
,range,[2757-border],Combat,Dice placed here must not be less than the first value and not more than the second value (e.g. range 2-4),
,Cost [heart]5,[2796-border][heart-border][35-20e3-border],Warrior Skillcard,Burning dice cost 5 health to extinguish when Buster rule change is active,
,Cannot copy,[26d4-border][1f6e0-border][1f6e0-border],Spellbook,,
,Reduced by 1 on each turn.,[2796][31-20e3][267e][231b],Status Effect,Tooltip for Poison split into two,
,Puzzle mode,[1f9e9-border][1f4dc-border],Witch Halloween Rules,Header,
,In this episode[;] your spells[;] spell slots and dice,,Witch Halloween Rules,Line 1 of 4,
,change before every fight.,,Witch Halloween Rules,Line 2 of 4,
,The goal is to defeat each enemy in one turn! If you fail[;],[1f449-border][1f4fa-border][1f6e0-border][1f4d3-border][1f4ee-border][dice-border][2194-border][267e-border][2694-border],Witch Halloween Rules,Line 3 of 4,
,they recover to full health[;] and your spells will reset.,[2197-border][26d4-border][26b0-border][31-20e3-border][231b-border][27a1-border][2197-border][1f4e5-border][267e-border][health-border][21aa-border][1f6e0-border],Witch Halloween Rules,Line 4 of 4,
,Challenge mode,[1f9d7-border][1f4dc-border],Warrior Halloween Rules,Header,
,In challenge mode[;] all the rule changes have been decided in advance. They can't be changed.,[1f9d7-border][1f4dc-border][27a1-border][2199-border][26d4-border][2194-border][1f4dc-border],Warrior Halloween Rules,Line 1 of 2,
,New rules are revealed when you descend further into the dungeons.,[1f6b6-border][27a1-border][1f440-border][1f4dc-border],Warrior Halloween Rules,Line 2 of 2,
,Your prepared spells cannot be changed in this episode.,[26d4-border][2194-border][23ee-border][1f6e0-border][1f4ee-border][1f449-border][1f4fa-border],Witch Spellbook,Modified rule for Witch Halloween episode,
,Warrior: Halloween Special,[2694-border][1f9d1-border][1f383-border][1f5d3-border][1f4fa-border],Episode Name,This episode name will only appear when continuing a saved game,
,Inventor: Halloween Special,[1f39b-border][1f9d1-border][1f383-border][1f5d3-border][1f4fa-border],Episode Name,This episode name will only appear when continuing a saved game,
,Witch: Halloween Special,[1f9d9-200d-2640-fe0f-border][1f383-border][1f5d3-border][1f4fa-border],Episode Name,This episode name will only appear when continuing a saved game,
,Halloween Special,[1f383-border][1f5d3-border][1f4fa-border],Title Screen,Displayed on the Title screen during Halloween week - the Name of the DLC,
,Frozen,[ice-border],Status Effect,,
,Turns the highest dice rolled into a 1.,[2b06][dice][1f504][25b6][31-20e3],Status Effect,Tooltip for Frozen,
,Frozen_all,[ice-border][267e-border],Status Effect,,
,Turns the highest dice rolled into a 1.,[2b06][dice][1f504][25b6][31-20e3],Status Effect,Tooltip for Frozen_all,
,Burn,[fire-border],Status Effect,,
,Sets the next dice on fire. Costs [heart]2[] hp to extinguish.,[1f590][23e9][dice][27a1][2796][heart][32-20e3],Status Effect,Tooltip for Burn,
,Burn_all,[fire-border][267e-border],Status Effect,,
,Sets the next dice on fire. Costs [heart]2[] hp to extinguish.,[1f590][23e9][dice][27a1][2796][heart][32-20e3],Status Effect,Tooltip for Burn_all,
,Shocked,[shock-border],Status Effect,,
,Temporarily disables random equipment.|Can use a dice to unshock.,[2753][1f6e0][1f937]|[1f590][dice][27a1][1f5d1][shock],Status Effect,Tooltip for Shocked,
,Weaken,[weaken-border],Status Effect,,
,Temporarily weakens random equipment.|Equipment becomes less powerful.,[2753][1f6e0][2796]|[1f6e0][1f44e],Status Effect,Tooltip for Weaken,
,Silence,[silence-border],Status Effect,,
,Cannot use special character skills or limit breaks.,[26d4][1f590][1f9b8][1f31f],Status Effect,Tooltip for Silence,
,Dodge,[dodge-border],Status Effect,,
,Avoid the next attack.,[23e9][1f915][26d4],Status Effect,Tooltip for Dodge,
,Blind,[blind-border],Status Effect,,
,Cannot see the dice values.,[26d4][1f440][dice][1f522],Status Effect,Tooltip for Blind,
,Poison,[poison-border],Status Effect,,
,Lose [heart]<value> health at the start of turn. Pierces shields.,[2796][heart]<value>[267e][231b]|[1f937][shield],Status Effect,Tooltip for Poison,
,Fury,[fury-border],Status Effect,,
,The next equipment will be used twice.,[23e9][1f6e0][1f590][1f590],Status Effect,Tooltip for Fury,
,Re-Equip_Next,[recycle-border],Status Effect,,
,The next equipment you use can be used again on this turn.,[23e9][1f6e0][1f590][1f449][231b][2795][31-20e3][1f590],Status Effect,Tooltip for Re-Equip_Next,
,Reduce_by,[reduce-border],Status Effect,,
,Take less damage from every attack this turn.,[2796][1f915][267e][1f915][1f449][231b],Status Effect,Tooltip for Reduce_by,
,Locked,[lock-border],Status Effect,,
,Cannot use dice.,[26d4][1f590][dice],Status Effect,Tooltip for Locked,
,Dice_Trigger_1,[dice-border][31-20e3-border][1f504-border],Status Effect,,
,Roll an extra dice next turn if the enemy rolls a 1.,[2197][1f504][31-20e3][27a1][2795][31-20e3][dice][23e9][231b],Status Effect,Tooltip for Dice_Trigger_1,
,Dice_Trigger_2,[dice-border][32-20e3-border][1f504-border],Status Effect,,
,Roll an extra dice next turn if the enemy rolls a 2.,[2197][1f504][32-20e3][27a1][2795][31-20e3][dice][23e9][231b],Status Effect,Tooltip for Dice_Trigger_2,
,Dice_Trigger_3,[dice-border][33-20e3-border][1f504-border],Status Effect,,
,Roll an extra dice next turn if the enemy rolls a 3.,[2197][1f504][33-20e3][27a1][2795][31-20e3][dice][23e9][231b],Status Effect,Tooltip for Dice_Trigger_3,
,Dice_Trigger_4,[dice-border][34-20e3-border][1f504-border],Status Effect,,
,Roll an extra dice next turn if the enemy rolls a 4.,[2197][1f504][34-20e3][27a1][2795][31-20e3][dice][23e9][231b],Status Effect,Tooltip for Dice_Trigger_4,
,Dice_Trigger_5,[dice-border][35-20e3-border][1f504-border],Status Effect,,
,Roll an extra dice next turn if the enemy rolls a 5.,[2197][1f504][35-20e3][27a1][2795][31-20e3][dice][23e9][231b],Status Effect,Tooltip for Dice_Trigger_5,
,Dice_Trigger_6,[dice-border][36-20e3-border][1f504-border],Status Effect,,
,Roll an extra dice next turn if the enemy rolls a 6.,[2197][1f504][36-20e3][27a1][2795][31-20e3][dice][23e9][231b],Status Effect,Tooltip for Dice_Trigger_6,
,Counter_1,[lock-border][31-20e3-border],Status Effect,,
,All enemy dice that roll 1 are locked.,[267e][2197][dice][31-20e3][lock],Status Effect,Tooltip for Counter_1,
,Counter_2,[lock-border][32-20e3-border],Status Effect,,
,All enemy dice that roll 2 are locked.,[267e][2197][dice][32-20e3][lock],Status Effect,Tooltip for Counter_2,
,Counter_3,[lock-border][33-20e3-border],Status Effect,,
,All enemy dice that roll 3 are locked.,[267e][2197][dice][33-20e3][lock],Status Effect,Tooltip for Counter_3,
,Counter_4,[lock-border][34-20e3-border],Status Effect,,
,All enemy dice that roll 4 are locked.,[267e][2197][dice][34-20e3][lock],Status Effect,Tooltip for Counter_4,
,Counter_5,[lock-border][35-20e3-border],Status Effect,,
,All enemy dice that roll 5 are locked.,[267e][2197][dice][35-20e3][lock],Status Effect,Tooltip for Counter_5,
,Counter_6,[lock-border][36-20e3-border],Status Effect,,
,All enemy dice that roll 6 are locked.,[267e][2197][dice][36-20e3][lock],Status Effect,Tooltip for Counter_6,
,Recycle,[1f501-border],Status Effect,,
,All equipment becomes reusable.,[267e][1f6e0][1f501][1f590],Status Effect,Tooltip for Recycle,
,Infinite,[267e-border],Status Effect,,
,Too many dice.,[1f4e5][267e][dice],Status Effect,Tooltip for Infinite,
,Pierce,[1f5e1-border],Status Effect,,
,Next attack ignores shield.,[23e9][1f915][1f937][shield],Status Effect,Tooltip for Pierce,
,Cursed,[curse-border],Status Effect,,
,All equipment has a 50% chance to fail.|Disappears once triggered.,[267e][1f6e0][1fa99][1f646][27a1][1f610]|[1f590][27a1][2796][curse],Status Effect,Tooltip for Cursed,
,Confuse,[confuse-border],Status Effect,,
,Equipment is mixed-up and obscured this turn.,[1f6e0][1f939]|[26d4][1f440][1f6e0][1f449][231b],Status Effect,Tooltip for Confuse,
,Shield,[shield-border],Status Effect,,
,Blocks incoming damage.,[2796][1f915],Status Effect,Tooltip for Shield,
,Survive,[26d4-border][26b0-border],Status Effect,,
,Survive the next fatal blow.,[26d4][26b0][23e9][26b0][1f915],Status Effect,Tooltip for Survive,
,Vampire,[1f9db-200d-2642-fe0f-border],Status Effect,,
,Can only be killed with a wooden stake.,[26d4][1fab5][1f4cc][27a1][26d4][26b0],Status Effect,Tooltip for Vampire,
,Lantern,[1fa94-border],Status Effect,,
,Stash some dice for next turn.,[1f4e5][dice][23e9][231b],Status Effect,Tooltip for Lantern,
,Illuminate,[1f4a1-border],Status Effect,,
,Stash some dice for next turn.,[1f4e5][dice][23e9][231b],Status Effect,Tooltip for Illuminate,
,Extra_Turn,[1f4e5-border][231b-border],Status Effect,,
,Take an extra turn.,[1f4e5][231b],Status Effect,Tooltip for Extra_Turn,
,Stash_1,[1f4a1-border][31-20e3-border],Status Effect,,
,Roll an extra 1 next turn.,[1f504][31-20e3][23e9][231b],Status Effect,Tooltip for Stash_1,
,Stash_2,[1f4a1-border][32-20e3-border],Status Effect,,
,Roll an extra 2 next turn.,[1f504][32-20e3][23e9][231b],Status Effect,Tooltip for Stash_2,
,Stash_3,[1f4a1-border][33-20e3-border],Status Effect,,
,Roll an extra 3 next turn.,[1f504][33-20e3][23e9][231b],Status Effect,Tooltip for Stash_3,
,Stash_4,[1f4a1-border][34-20e3-border],Status Effect,,
,Roll an extra 4 next turn.,[1f504][34-20e3][23e9][231b],Status Effect,Tooltip for Stash_4,
,Stash_5,[1f4a1-border][35-20e3-border],Status Effect,,
,Roll an extra 5 next turn.,[1f504][35-20e3][23e9][231b],Status Effect,Tooltip for Stash_5,
,Stash_6,[1f4a1-border][36-20e3-border],Status Effect,,
,Roll an extra 6 next turn.,[1f504][36-20e3][23e9][231b],Status Effect,Tooltip for Stash_6,
,Thorns,[thorns-border],Status Effect,,
,Enemy takes [sword]<value> damage if they attack this turn.|(1 for each [thorns] thorn.),[2197][1f4e4][1f915][1f449][231b][27a1][2197][1f4e5]<value>[1f915]|[31-20e3][1f915][267e][thorns],Status Effect,Tooltip for Thorns,
,Luck,[1f340-border],Status Effect,,
,Items that depend on luck have a higher chance to succeed.,[1fa99][1f6e0][2b06][1f340],Status Effect,Tooltip for Luck,
,Luck+,[1f340-border][2795-border],Status Effect,,
,Items that depend on luck work 100% of the time.,[1fa99][1f6e0][1f340][267e][1f590],Status Effect,Tooltip for Luck+,
,CPU_Protect,[1f5a5-border][shield-border],Status Effect,,
,If you exceed the CPU target[;] reduce CPU by the excess.,[1f5a5][26d4][2935][1f389][27a1][2796][1f449][1f5a5],Status Effect,Tooltip for CPU_Protect,
,Virus,[1f5a5-border][1f9a0-border],Status Effect,,
,When you use equipment[;] increase CPU by <value>.,[1f590][1f6e0][27a1][2795][1f5a5]<value>,Status Effect,Tooltip for Virus,
,Safe_Bet,[1f9ba-border][1f911-border],Status Effect,,
,The next roll won't exceed the CPU target.,[23e9][1f504][2935][1f389],Status Effect,Tooltip for Safe_Bet,
,Mana,[mana-border],Status Effect,,
,Mana is used to grant bonus powers on certain cards.|Disappears at the end of the fight.,[1f590][mana][27a1][1f6e0][1f44d]|[2796][267e][mana][23ed][1f449][2694],Status Effect,Tooltip for Mana,
,Double_Cast,[1fa84-border][1fa84-border],Status Effect,,
,Place two copies of the next spell you cast.,[1f4e5][32-20e3][1f6e0][23e9][1f4d3][1f590],Status Effect,Tooltip for Double_Cast,
,Frozen?,[ice-border][2753-border],Status Effect,,
,Reduce all dice values by <value>.,[267e][dice][1f522][2796]<value>,Status Effect,Tooltip for Frozen?,
,Frozen_all?,[ice-border][267e-border][2753-border],Status Effect,,
,Reduce all dice values by 1.,[267e][dice][1f522][2796][31-20e3],Status Effect,Tooltip for Frozen_all?,
,Burn?,[fire-border][2753-border],Status Effect,,
,Burning dice can be used on equipment[;] but will disable that|equipment for the rest of the turn[;] and for the next turn.,[fire][dice][1f590][27a1][1f6e0][1f937][1f449][231b][23e9][231b],Status Effect,Tooltip for Burn?,
,Burn_all?,[fire-border][267e-border][2753-border],Status Effect,,
,Burning dice can be used on equipment[;] but will disable that|equipment for the rest of the turn[;] and for the next turn.,[fire][dice][1f590][27a1][1f6e0][1f937][1f449][231b][23e9][231b],Status Effect,Tooltip for Burn_all?,
,Shocked?,[shock-border][2753-border],Status Effect,,
,Temporarily disables random equipment.|Costs [heart]3[] hp to unshock.,[2753][1f6e0][1f937]|[2796][heart][33-20e3][27a1][1f5d1][shock],Status Effect,Tooltip for Shocked?,
,Weaken?,[weaken-border][2753-border],Status Effect,,
,Take [sword]<value> extra damage from each attack.|([sword]1 per each point of weaken inflicted.),[1f4e5][sword]<value>[1f915][267e][1f915]|[sword][31-20e3][267e][weaken],Status Effect,Tooltip for Weaken?,
,Silence?,[silence-border][2753-border],Status Effect,,
,Limit break is less powerful.,[1f31f][1f44e],Status Effect,Tooltip for Silence?,
,Blind?,[blind-border][2753-border],Status Effect,,
,Cannot see remaining health.,[26d4][1f440][heart],Status Effect,Tooltip for Blind?,
,Poison?,[poison-border][2753-border],Status Effect,,
,A random piece of equipment is poisoned. Reduce the|countdown to zero by the end of the turn[;] or take damage.,[2753][1f6e0][poison]|[1f9ee][26d4][30-20e3][1f449][231b][27a1][1f4e5][1f915],Status Effect,Tooltip for Poison?,
,Fury?,[fury-border][2753-border],Status Effect,,
,The next equipment will be used twice[;] but|cannot be used next turn.,[23e9][1f6e0][1f590][1f590]|[26d4][1f590][23e9][231b],Status Effect,Tooltip for Fury?,
,Cursed?,[curse-border][2753-border],Status Effect,,
,All equipment has a 50% chance to switch target.|Disappears once triggered.,[267e][1f6e0][1fa99][1f646][27a1][2194][2199][2197]|[1f590][27a1][2796][curse],Status Effect,Tooltip for Cursed?,
,Confuse?,[confuse-border][2753-border],Status Effect,,
,Cannot see the dice values.,[26d4][1f440][dice][1f522],Status Effect,Tooltip for Confuse?,
,Shield?,[shield-border][2753-border],Status Effect,,
,Restores [heart]<value> health at the start of your next turn.|([shield] disappears after healing.),[2795][heart]<value>[23e9][231b],Status Effect,Tooltip for Shield?,
,Dodge?,[dodge-border][2753-border],Status Effect,,
,50% chance to avoid the next attack[;] lasts until|something triggers it.,[1fa99][1f646][27a1][23e9][1f915][26d4][1f915]|[1f590][27a1][2796][dodge],Status Effect,Tooltip for Dodge?,
,Re-Equip_Next?,[recycle-border][2753-border],Status Effect,,
,The next dice you use can be used again on this turn.,[23e9][dice][1f590][1f501][1f590][1f449][231b],Status Effect,Tooltip for Re-Equip_Next?,
,Reduce_by?,[reduce-border][2753-border],Status Effect,,
,Block the next status effect.,[23e9][1f300][1f937],Status Effect,Tooltip for Reduce_by?,
,Locked?,[lock-border][2753-border],Status Effect,,
,Locked dice need to be used in the order they are rolled[;]|before you can use any other dice.,[lock][dice][2757][23ee][dice][1f590],Status Effect,Tooltip for Locked?,
,Survive?,[26d4-border][26b0-border][2753-border],Status Effect,,
,Cannot be killed by anything. Counter reduces by one on|each turn. If it reaches zero[;] you die.,[26d4][26b0]|[2796][1f9ee][267e][231b]|[1f9ee][30-20e3][27a1][26b0],Status Effect,Tooltip for Survive?,
,Vampire?,[1f9db-200d-2642-fe0f-border][2753-border],Status Effect,,
,Restore all health when defeated[;] once.,[26b0][27a1][2795][267e][heart]|[31-20e3][1f590],Status Effect,Tooltip for Vampire?,
,Thorns?,[thorns-border][2753-border],Status Effect,,
,Restore [heal]<value> health with each attack this turn.|([heal]1 for each [thorns] thorn.),[heal]<value>[267e][1f915][1f449][231b]|[heal][31-20e3][267e][thorns],Status Effect,Tooltip for Thorns?,
,Dice_Trigger_1?,[dice-border][31-20e3-border][1f504-border][2753-border],Status Effect,,
